===== Optimal =====
Input		Frame1		Frame2		Frame3		Frame4		Frame5		
5		5		-		-		-		-		PAGE FAULT
11		5		11		-		-		-		PAGE FAULT
8		5		11		8		-		-		PAGE FAULT
18		5		11		8		18		-		PAGE FAULT
16		5		11		8		18		16		PAGE FAULT
11		5		11		8		18		16		
21		5		21		8		18		16		PAGE FAULT
24		5		24		8		18		16		PAGE FAULT
27		5		24		27		18		16		PAGE FAULT
12		5		24		12		18		16		PAGE FAULT
24		5		24		12		18		16		
15		5		15		12		18		16		PAGE FAULT
5		5		15		12		18		16		
26		26		15		12		18		16		PAGE FAULT
2		2		15		12		18		16		PAGE FAULT
17		17		15		12		18		16		PAGE FAULT
16		17		15		12		18		16		
14		14		15		12		18		16		PAGE FAULT
7		7		15		12		18		16		PAGE FAULT
22		22		15		12		18		16		PAGE FAULT
18		22		15		12		18		16		
29		22		15		12		29		16		PAGE FAULT
15		22		15		12		29		16		
27		22		15		12		27		16		PAGE FAULT
12		22		15		12		27		16		
15		22		15		12		27		16		
1		22		1		12		27		16		PAGE FAULT
27		22		1		12		27		16		
13		22		1		13		27		16		PAGE FAULT
30		22		1		13		30		16		PAGE FAULT
22		22		1		13		30		16		
10		10		1		13		30		16		PAGE FAULT
13		10		1		13		30		16		
16		10		1		13		30		16		
10		10		1		13		30		16		
6		10		1		13		30		6		PAGE FAULT
29		10		1		13		30		29		PAGE FAULT
18		10		1		13		30		18		PAGE FAULT
25		10		1		13		30		25		PAGE FAULT
8		10		1		13		30		8		PAGE FAULT
13		10		1		13		30		8		
13		10		1		13		30		8		
19		10		1		13		30		19		PAGE FAULT
20		10		1		20		30		19		PAGE FAULT
14		10		1		14		30		19		PAGE FAULT
2		10		1		2		30		19		PAGE FAULT
30		10		1		2		30		19		
2		10		1		2		30		19		
21		10		1		2		21		19		PAGE FAULT
10		10		1		2		21		19		
26		10		1		2		26		19		PAGE FAULT
19		10		1		2		26		19		
1		10		1		2		26		19		
2		10		1		2		26		19		
26		10		1		2		26		19		
19		10		1		2		26		19		
28		10		28		2		26		19		PAGE FAULT
27		10		28		27		26		19		PAGE FAULT
3		10		28		3		26		19		PAGE FAULT
5		10		28		5		26		19		PAGE FAULT
26		10		28		5		26		19		
23		10		28		5		26		23		PAGE FAULT
11		10		28		5		26		11		PAGE FAULT
25		10		28		25		26		11		PAGE FAULT
10		10		28		25		26		11		
9		9		28		25		26		11		PAGE FAULT
28		9		28		25		26		11		
26		9		28		25		26		11		
13		13		28		25		26		11		PAGE FAULT
11		13		28		25		26		11		
5		13		28		25		5		11		PAGE FAULT
19		19		28		25		5		11		PAGE FAULT
2		19		28		25		2		11		PAGE FAULT
17		19		28		25		17		11		PAGE FAULT
22		19		22		25		17		11		PAGE FAULT
8		19		8		25		17		11		PAGE FAULT
23		19		23		25		17		11		PAGE FAULT
11		19		23		25		17		11		
1		19		1		25		17		11		PAGE FAULT
30		19		1		25		17		30		PAGE FAULT
4		19		4		25		17		30		PAGE FAULT
27		19		4		25		17		27		PAGE FAULT
17		19		4		25		17		27		
27		19		4		25		17		27		
19		19		4		25		17		27		
25		19		4		25		17		27		
22		19		4		22		17		27		PAGE FAULT
4		19		4		22		17		27		
19		19		4		22		17		27		
30		19		30		22		17		27		PAGE FAULT
22		19		30		22		17		27		
10		10		30		22		17		27		PAGE FAULT
22		10		30		22		17		27		
12		12		30		22		17		27		PAGE FAULT
15		15		30		22		17		27		PAGE FAULT
20		20		30		22		17		27		PAGE FAULT
28		28		30		22		17		27		PAGE FAULT
30		28		30		22		17		27		
6		6		30		22		17		27		PAGE FAULT
22		6		30		22		17		27		
27		6		30		22		17		27		
17		6		30		22		17		27		
19		6		30		22		19		27		PAGE FAULT
25		6		30		22		25		27		PAGE FAULT
1		6		30		22		1		27		PAGE FAULT
30		6		30		22		1		27		
3		6		30		22		3		27		PAGE FAULT
3		6		30		22		3		27		
27		6		30		22		3		27		
22		6		30		22		3		27		
21		6		30		21		3		27		PAGE FAULT
21		6		30		21		3		27		
21		6		30		21		3		27		
6		6		30		21		3		27		
27		6		30		21		3		27		
30		6		30		21		3		27		
7		7		30		21		3		27		PAGE FAULT
11		11		30		21		3		27		PAGE FAULT
8		11		30		8		3		27		PAGE FAULT
20		11		20		8		3		27		PAGE FAULT
8		11		20		8		3		27		
3		11		20		8		3		27		
3		11		20		8		3		27		
1		11		20		8		1		27		PAGE FAULT
11		11		20		8		1		27		
1		11		20		8		1		27		
10		11		20		8		10		27		PAGE FAULT
27		11		20		8		10		27		
17		17		20		8		10		27		PAGE FAULT
16		16		20		8		10		27		PAGE FAULT
8		16		20		8		10		27		
30		30		20		8		10		27		PAGE FAULT
20		30		20		8		10		27		
3		3		20		8		10		27		PAGE FAULT
5		5		20		8		10		27		PAGE FAULT
